pathway,pval,padj,log2err,ES,NES,size,leadingEdge
GOBP_ACTIVATION_OF_IMMUNE_RESPONSE,0.5202952029520295,0.9918637448470384,0.05334778506754903,0.3268110588248211,0.9724374458720554,45,
GOBP_ADAPTIVE_IMMUNE_RESPONSE,0.15192743764172337,0.9918637448470384,0.11623414877971643,0.3778157403287645,1.2349054791270657,81,
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS,0.3723150357995227,0.9918637448470384,0.06783382634794552,0.34549189673743896,1.0622090133617177,54,
GOBP_ALPHA_BETA_T_CELL_ACTIVATION,0.7807486631016043,0.9918637448470384,0.11056471633661853,-0.22413492714306443,-0.8530708696665299,46,
GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION,0.9534005037783375,0.9944593711635321,0.025903375777249812,0.21724591000541282,0.6124443782674054,34,
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION,0.5349162011173184,0.9918637448470384,0.05797547575714859,0.39825851377201354,0.9613189241989266,15,
GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS,0.6380368098159509,0.9918637448470384,0.04388798428636468,0.3008253366800069,0.8977234085602651,46,
GOBP_ANIMAL_ORGAN_MORPHOGENESIS,0.23974358974358975,0.9918637448470384,0.09528798461948437,0.4305620013747172,1.1796636551695205,29,
GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY,0.42585551330798477,0.9918637448470384,0.06421408818446053,0.3682563707487207,1.032357959431149,33,
GOBP_APOPTOTIC_SIGNALING_PATHWAY,0.24721878862793573,0.9918637448470384,0.09139243259437684,0.4052738288814337,1.1755577489645372,40,
GOBP_BEHAVIOR,0.3760330578512397,0.9918637448470384,0.1446305280344838,-0.32679522595672944,-1.0650509442506069,22,
GOBP_BIOLOGICAL_ADHESION,0.67439293598234,0.9918637448470384,0.03645485419653088,0.27113111405454027,0.9051593455150627,99,
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS,0.6096774193548387,0.9918637448470384,0.039921862429271364,0.2765893146949078,0.9368022964592267,127,
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION,0.7019867549668874,0.9918637448470384,0.04301731969275082,0.31809380294619,0.8364072627239485,21,
GOBP_BLOOD_VESSEL_MORPHOGENESIS,0.44587628865979384,0.9918637448470384,0.06280039778122341,0.3691443317782016,1.0167075061384778,31,
GOBP_B_CELL_ACTIVATION,0.18294190358467244,0.9918637448470384,0.10968406197054928,0.42803849038765684,1.2415900765640193,40,
GOBP_B_CELL_DIFFERENTIATION,0.47554347826086957,0.9918637448470384,0.06224904294985801,0.3919160216149435,1.0025666082987565,19,
GOBP_B_CELL_MEDIATED_IMMUNITY,0.25298013245033113,0.9918637448470384,0.09405034657278127,0.4498345756799338,1.182811179086973,21,
GOBP_B_CELL_PROLIFERATION,0.2532808398950131,0.9918637448470384,0.09344492194109945,0.44040995448208053,1.1766970405089399,24,
GOBP_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.09418282548476455,0.9918637448470384,0.16957064440562838,0.5700991951286629,1.416076337347966,17,
GOBP_CALCIUM_ION_TRANSPORT,0.2565789473684211,0.9918637448470384,0.09284812141598782,0.44393912040472494,1.1710892414371505,22,
GOBP_CALCIUM_MEDIATED_SIGNALING,0.8407310704960835,0.9918637448470384,0.03397236136349927,0.2721850990269854,0.7254963013667051,23,
GOBP_CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS,0.9547038327526133,0.9944593711635321,0.07436253844225256,-0.20092686128403797,-0.5905272861601946,16,
GOBP_CARBOHYDRATE_METABOLIC_PROCESS,0.9050279329608939,0.9944593711635321,0.03367699788286078,0.2523002442729476,0.6090039283841677,15,
GOBP_CATION_TRANSMEMBRANE_TRANSPORT,0.34972677595628415,0.9918637448470384,0.07788401119770678,0.4362978107775081,1.100486253036486,18,
GOBP_CATION_TRANSPORT,0.1935897435897436,0.9918637448470384,0.10839425585339667,0.4542279742614649,1.244504230950909,29,
GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION,0.7163029525032092,0.9918637448470384,0.04065793441555567,0.3073759557167723,0.837817090766697,28,
GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION,0.455012853470437,0.9918637448470384,0.06170540536375225,0.3739747617806503,1.0058738305769042,25,
GOBP_CELLULAR_AMIDE_METABOLIC_PROCESS,0.4393530997304582,0.9918637448470384,0.06568136019340105,0.39338172605506616,1.0205295283148814,20,
GOBP_CELLULAR_HOMEOSTASIS,0.17326732673267325,0.9918637448470384,0.11331290842208036,0.4313523251996135,1.2456037509133504,38,
GOBP_CELLULAR_ION_HOMEOSTASIS,0.10773130544993663,0.9918637448470384,0.15016980212840597,0.4797110404543272,1.3448063636567595,33,
GOBP_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS,0.5019255455712451,0.9918637448470384,0.05700595265823873,0.35814716109659045,0.9750168338506331,27,
GOBP_CELLULAR_MACROMOLECULE_LOCALIZATION,0.3700384122919334,0.9918637448470384,0.07165273668294567,0.39181147915031844,1.0768904534035098,30,
GOBP_CELLULAR_PROTEIN_CATABOLIC_PROCESS,0.9413407821229051,0.9944593711635321,0.03178125068359488,0.235004345576578,0.567254978511458,15,
GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS,0.12564102564102564,0.9918637448470384,0.13880510939113969,0.48439463552358936,1.3271555419702659,29,
GOBP_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS,0.4796195652173913,0.9918637448470384,0.061840603575328466,0.39089384444624603,0.9999517606258326,19,
GOBP_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS,0.18485237483953787,0.9918637448470384,0.11146266692298015,0.45441194060665513,1.238594245932239,28,
GOBP_CELLULAR_RESPONSE_TO_ENDOGENOUS_STIMULUS,0.8487084870848709,0.9918637448470384,0.030632255048647243,0.24913719525332467,0.7413162170675919,45,
GOBP_CELLULAR_RESPONSE_TO_EXTERNAL_STIMULUS,0.5532786885245902,0.9918637448470384,0.05536428377253621,0.371633355626433,0.9373812770407617,18,
GOBP_CELLULAR_RESPONSE_TO_HORMONE_STIMULUS,0.6875,0.9918637448470384,0.10714023727672473,-0.26199046101538753,-0.8672016021877652,25,
GOBP_CELLULAR_RESPONSE_TO_INTERFERON_GAMMA,0.19262295081967212,0.9918637448470384,0.11284335567556247,0.48882325993160114,1.232972672405946,18,
GOBP_CELLULAR_RESPONSE_TO_LIPID,0.15577889447236182,0.9918637448470384,0.12154328203546907,0.45299377772186694,1.284225868557193,35,
GOBP_CELLULAR_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,0.1399229781771502,0.9918637448470384,0.13077713797197438,0.4851596611581264,1.32079460098489,27,
GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND,0.8553137003841229,0.9918637448470384,0.03221531545992855,0.2653436896426261,0.7292948304288486,30,
GOBP_CELLULAR_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND,0.7750642673521851,0.9918637448470384,0.03707053936576206,0.29364052689770087,0.7898001463971873,25,
GOBP_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND,0.1957040572792363,0.9918637448470384,0.10319746694530717,0.39488537147663866,1.2117696084936254,53,
GOBP_CELLULAR_RESPONSE_TO_PEPTIDE,0.866225165562914,0.9918637448470384,0.03323593077853825,0.26737923447092976,0.7030565560904267,21,
GOBP_CELLULAR_RESPONSE_TO_PEPTIDE_HORMONE_STIMULUS,0.9036312849162011,0.9944593711635321,0.03375073768052985,0.25442739621589333,0.6141384612232342,15,
